"filename", "language", "Makefile", "Markdown", "C", "C++", "comment", "blank", "total"
"/home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstnew.c", "C", 0, 0, 11, 0, 11, 4, 26
"/home/ehosta/Documents/42-minishell/lib/src/lst/ft_lstsize.c", "C", 0, 0, 19, 0, 11, 4, 34
"/home/ehosta/Documents/42-minishell/lib/src/math/ft_abs.c", "C", 0, 0, 5, 0, 11, 3, 19
"/home/ehosta/Documents/42-minishell/lib/src/math/ft_sign.c", "C", 0, 0, 5, 0, 11, 3, 19
"/home/ehosta/Documents/42-minishell/lib/src/math/ft_sqrt.c", "C", 0, 0, 8, 0, 11, 3, 22
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_bzero.c", "C", 0, 0, 11, 0, 11, 4, 26
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_calloc.c", "C", 0, 0, 14, 0, 11, 4, 29
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memalloc.c", "C", 0, 0, 10, 0, 11, 5, 26
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memchr.c", "C", 0, 0, 13, 0, 11, 4, 28
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcmp.c", "C", 0, 0, 15, 0, 11, 4, 30
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memcpy.c", "C", 0, 0, 18, 0, 11, 4, 33
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memmove.c", "C", 0, 0, 19, 0, 11, 4, 34
"/home/ehosta/Documents/42-minishell/lib/src/mem/ft_memset.c", "C", 0, 0, 12, 0, 11, 4, 27
"/home/ehosta/Documents/42-minishell/lib/src/misc/ft_selection_sort.c", "C", 0, 0, 25, 0, 11, 4, 40
"/home/ehosta/Documents/42-minishell/lib/src/printf/ft_printf.c", "C", 0, 0, 92, 0, 11, 12, 115
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_split.c", "C", 0, 0, 85, 0, 11, 10, 106
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strchr.c", "C", 0, 0, 15, 0, 11, 4, 30
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strdup.c", "C", 0, 0, 19, 0, 11, 4, 34
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_striteri.c", "C", 0, 0, 13, 0, 11, 4, 28
