Date : 2025-04-22 13:44:20
Directory : /home/ehosta/Documents/42-minishell
Total : 147 files,  4676 codes, 1830 comments, 860 blanks, all 7366 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strjoin.c                  | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcat.c                  | C        |         21 |         11 |          4 |         36 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcpy.c                  | C        |         20 |         11 |          4 |         35 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlen.c                   | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strlenc.c                  | C        |         11 |         11 |          4 |         26 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strmapi.c                  | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strncmp.c                  | C        |         23 |         11 |          3 |         37 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strnstr.c                  | C        |         26 |         11 |          4 |         41 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strrchr.c                  | C        |         12 |         11 |          4 |         27 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_strtrim.c                  | C        |         35 |         11 |          7 |         53 |
| /home/ehosta/Documents/42-minishell/lib/src/str/ft_substr.c                   | C        |         34 |         11 |          7 |         52 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_atoi.c                      | C        |         26 |         11 |          4 |         41 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_itoa.c                      | C        |         63 |         11 |          9 |         83 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_tolower.c                   | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/42-minishell/lib/src/to/ft_toupper.c                   | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/42-minishell/lib/variables.mk                          | Makefile |        127 |         11 |          4 |        142 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_cd.c                 | C        |         63 |         11 |          8 |         82 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_echo.c               | C        |         18 |         11 |          4 |         33 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_env.c                | C        |         53 |         11 |          8 |         72 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_exit.c               | C        |         19 |         11 |          4 |         34 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_export.c             | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_pwd.c                | C        |         21 |         11 |          4 |         36 |
| /home/ehosta/Documents/42-minishell/src/builtins/builtin_unset.c              | C        |         44 |         11 |          6 |         61 |
| /home/ehosta/Documents/42-minishell/src/env_manager/create_env.c              | C        |         90 |         11 |         10 |        111 |
| /home/ehosta/Documents/42-minishell/src/env_manager/env_to_strlst.c           | C        |         41 |         11 |          7 |         59 |
| /home/ehosta/Documents/42-minishell/src/env_manager/get_var.c                 | C        |         15 |         11 |          4 |         30 |
| /home/ehosta/Documents/42-minishell/src/errors/error_handler.c                | C        |          7 |         11 |          3 |         21 |
| /home/ehosta/Documents/42-minishell/src/errors/puterr.c                       | C        |         21 |         11 |          3 |         35 |
| /home/ehosta/Documents/42-minishell/src/exec/heredoc/heredoc.c                | C        |         14 |         11 |          4 |         29 |
| /home/ehosta/Documents/42-minishell/src/exec/init/create_cmd.c                | C        |         81 |         11 |          9 |        101 |
| /home/ehosta/Documents/42-minishell/src/exec/init/create_redirect.c           | C        |         62 |         11 |          8 |         81 |
| /home/ehosta/Documents/42-minishell/src/exec/init/redirect_manager.c          | C        |         82 |         11 |          9 |        102 |
| /home/ehosta/Documents/42-minishell/src/exec/process/exec.c                   | C        |         98 |         11 |          6 |        115 |
| /home/ehosta/Documents/42-minishell/src/exec/process/exec_utils.c             | C        |         46 |         11 |          7 |         64 |
| /home/ehosta/Documents/42-minishell/src/exec/process/execute_builtin.c        | C        |          9 |          0 |          4 |         13 |
| /home/ehosta/Documents/42-minishell/src/exec/process/execute_from_path.c      | C        |         54 |         11 |          5 |         70 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/create_child.c          | C        |         22 |          0 |          3 |         25 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/create_cmd_pipe.c       | C        |         71 |          0 |          6 |         77 |
